Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3JvKfv6T31zO0ini8iNItO,"Another Love","Long Way Down (Deluxe)","Tom Odell",2013-06-24,244360,87,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:49:31Z,"","ITNO/Columbia",0.445,0.537,4,-8.532,0,0.04,0.695,0.0000165,0.0944,0.131,122.769,4
57yL3161hUMuw06zzzUCHi,"Doubt","Blurryface","Twenty One Pilots",2015-05-15,191493,73,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:02Z,"","Fueled By Ramen",0.719,0.645,2,-6.141,0,0.0358,0.121,0.00316,0.362,0.69,123.02,4
5k38wzpLb15YgncyWdTZE4,"Him & I (with Halsey)","The Beautiful & Damned","G-Eazy,Halsey",2017-12-15,268866,78,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:03Z,"","BPG/RVG/RCA Records",0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,4
3B54sVLJ402zGa6Xm4YGNe,"Unforgettable","Jungle Rules","French Montana,Swae Lee",2017-07-14,233901,86,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:04Z,"","Bad Boy Entertainment/Epic Records",0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4
6VObnIkLVruX4UVyxWhlqm,"Skyfall","Skyfall","Adele",2012-10-04,286480,85,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:05Z,"soft pop","XL Recordings/Columbia",0.346,0.552,0,-6.864,0,0.0282,0.417,0,0.114,0.0789,75.881,4
5naar7XewEOAjOywIp6Jjq,"Remember When","Nothing Happens","Wallows",2019-03-22,155146,71,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:06Z,"indie","Atlantic Records",0.504,0.708,11,-5.896,0,0.0343,0.00112,0.000424,0.788,0.51,82.009,4
7KA4W4McWYRpgf0fWsJZWB,"See You Again (feat. Kali Uchis)","Flower Boy","Tyler, The Creator,Kali Uchis",2017-07-21,180386,91,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:08Z,"","Columbia",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
0yc6Gst2xkRu0eMLeRMGCX,"Apocalypse","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,290616,79,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:09Z,"dream pop","Partisan Records",0.369,0.468,5,-9.013,1,0.0273,0.0205,0.566,0.109,0.18,94.434,4
2gam98EZKrF9XuOkU13ApN,"Promiscuous","Loose","Nelly Furtado,Timbaland",2006-01-01,242293,85,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:09Z,"","Mosley / Geffen",0.808,0.97,10,-6.098,0,0.0504,0.0573,0.0000617,0.154,0.868,114.328,4
0C4ejWmOTMv8vuYj85mf8m,"S&M","Loud","Rihanna",2010-11-16,243533,72,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:12Z,"","Def Jam Recordings",0.767,0.682,1,-5.02,1,0.042,0.0113,0.00016,0.104,0.833,127.975,4
1cKHdTo9u0ZymJdPGSh6nq,"I Was Never There","My Dear Melancholy,","The Weeknd,Gesaffelstein",2018-03-30,241066,83,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:13Z,"","Universal Republic Records",0.323,0.737,10,-4.008,1,0.0335,0.14,0.000162,0.163,0.156,112.923,4
1o82DwNisONAd2mu1RcGE6,"Margaret (feat. Bleachers)","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey,Bleachers",2023-03-24,339890,81,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:20Z,"","Polydor Records",0.34,0.245,9,-13.352,1,0.0319,0.969,0.0992,0.0633,0.192,103.777,4
3xKsf9qdS1CyvXSMEid6g8,"Pink + White","Blonde","Frank Ocean",2016-08-20,184516,87,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:24Z,"","Boys Don't Cry",0.545,0.545,9,-7.362,1,0.107,0.667,0.0000548,0.417,0.549,159.94,3
0O0bttAxJKKWqAqY2Nq4mC,"Falling In Love","Cry","Cigarettes After Sex",2019-10-25,245840,68,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:25Z,"dream pop","Partisan Records",0.475,0.269,7,-11.641,1,0.027,0.722,0.017,0.125,0.357,140.654,4
5FVd6KXrgO9B3JPmC8OPst,"Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,87,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:32Z,"indie,garage rock","Domino Recording Co",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
73SpzrcaHk0RQPFP73vqVR,"No Time To Die","No Time To Die","Billie Eilish",2020-02-13,242265,76,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:33Z,"","Darkroom/Interscope Records",0.344,0.22,4,-13.218,0,0.0365,0.917,0.0107,0.0827,0.0522,70.895,4
2jQiSYrwJehQAcuaaQrXnS,"Friends","Nostalgia","Chase Atlantic",2015-02-21,230010,6,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:35Z,"","Independent",0.422,0.609,11,-6.361,0,0.0335,0.0114,0.00000476,0.108,0.0911,107.34,3
3aauaXWRgwCMoykMbI0Jq1,"I Feel Like I'm Drowning","A 20 Something Fuck","Two Feet",2018-10-05,185520,77,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:37Z,"","Republic Records",0.717,0.577,8,-5.436,1,0.0491,0.708,0.00422,0.0899,0.235,104.926,3
1WsEgieHsWWndAzLkmV105,"hostage","dont smile at me","Billie Eilish",2017-12-22,229425,75,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:39Z,"","Darkroom",0.427,0.123,9,-15.228,0,0.0497,0.868,0.0000312,0.0732,0.0394,129.565,5
7xkQdy0cy5ymoWT7nedvLz,"Whatcha Say","Jason Derulo (International)","Jason Derulo",2010-02-26,221253,71,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:42Z,"","Beluga Heights/Warner Records",0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144.036,4
5gDWsRxpJ2lZAffh5p7K0w,"Stargirl Interlude","Starboy","The Weeknd,Lana Del Rey",2016-11-24,111626,80,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:44Z,"","Universal Republic Records",0.715,0.47,5,-12.638,0,0.0772,0.353,0.0923,0.104,0.426,89.965,4
3Dy4REq8O09IlgiwuHQ3sk,"Waterloo","Waterloo","ABBA",1974,168960,73,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:45Z,"","Polar Music International AB",0.445,0.949,2,-4.682,1,0.0471,0.395,0.00000818,0.0902,0.653,147.604,4
4BGZF4oLbTL0pWm7C18pbv,"Scared To Live","After Hours","The Weeknd",2020-03-20,191306,63,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:46Z,"","Republic Records",0.488,0.498,0,-8.24,1,0.0479,0.131,0,0.0929,0.198,87.419,4
30cSNer6TV8x2utjULVeQ5,"SOS","A Girl Like Me","Rihanna",2006-04-10,238920,79,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:48Z,"","Def Jam Recordings",0.677,0.671,7,-4.905,1,0.0361,0.004,0.0000507,0.413,0.527,137.046,4
4RVwu0g32PAqgUiJoXsdF8,"Happier Than Ever","Happier Than Ever","Billie Eilish",2021-07-30,298899,84,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:50Z,"","Darkroom/Interscope Records",0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3
4taVwMQPmjzl48zc9gpyG1,"Napraw","LemON (Edycja Specjalna)","LemON",2013-11-19,192200,39,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:52Z,"","Parlophone Poland",0.786,0.473,1,-8.879,1,0.0483,0.0314,0.000655,0.0965,0.495,146.008,4
3yfqSUWxFvZELEM4PmlwIR,"The Real Slim Shady","The Marshall Mathers LP","Eminem",2000-05-23,284200,85,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:54Z,"rap,hip-hop","Interscope",0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,4
4tKGFmENO69tZR9ahgZu48,"Murder On The Dancefloor","Read My Lips (Deluxe Version)","Sophie Ellis-Bextor",2002-06-06,230013,81,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:56Z,"","Polydor Records",0.73,0.849,1,-5.281,0,0.0299,0.00234,0.0000257,0.312,0.887,117.308,4
5MHJfk2EAZtJGrpioarm95,"Fairytale","Fairytales","Alexander Rybak",2009,183266,49,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:58Z,"","Magic Records",0.563,0.731,2,-7.356,0,0.0303,0.416,0.00000983,0.317,0.595,107.983,4
0Sm62mG7sgagO4wF8w8NsY,"This Is The Life - Sped Up Version","This Is The Life (Sped Up Version)","Amy Macdonald,Speed Radio",2023-04-28,169107,59,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:50:59Z,"","UMC (Universal Music Catalogue)",0.644,0.953,10,-3.979,1,0.0656,0.248,0,0.11,0.773,103.641,4
3z8h0TU7ReDPLIbEnYhWZb,"Bohemian Rhapsody","Bohemian Rhapsody (The Original Soundtrack)","Queen",2018-10-19,354947,73,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:01Z,"rock klasyczny,rock,glam rock","EMI",0.39,0.395,0,-9.966,0,0.0501,0.288,0,0.207,0.247,144.32,4
3pe05XBTPu2wpWwkVPzuUX,"Trofea","Małomiasteczkowy","Dawid Podsiadło",2018-10-19,224986,54,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:02Z,"","Sony Music Entertainment",0.758,0.673,0,-7.51,1,0.0579,0.00885,0.0000131,0.158,0.635,109.908,4
7EkWXAI1wn8Ii883ecd9xr,"Freaks","Freaks","Surf Curse",2021-05-15,147062,83,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:03Z,"indie","Surf Curse",0.345,0.941,9,-9.918,1,0.0466,0.0000384,0.633,0.0511,0.407,179.626,4
39sDitIeCMrVX2QyXHY46t,"Blue Hair","Death of a Party Girl","TV Girl",2018-05-08,217000,83,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:05Z,"","TV Girl",0.751,0.72,4,-6.376,1,0.0303,0.554,0.0497,0.258,0.884,135.73,4
5TXDeTFVRVY7Cvt0Dw4vWW,"Revenge","17","XXXTENTACION",2017-08-25,120026,84,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:12Z,"emo rap","Bad Vibes Forever / EMPIRE",0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,4
4IMP7v2UPYtFqjWucd7Lfw,"#doyalike","#doyalike","mikeeysmind",2020-01-01,183054,69,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:16Z,"","Unjaps AB",0.628,0.542,11,-13.32,0,0.0784,0.136,0.245,0.591,0.362,96.13,4
6CcJMwBtXByIz4zQLzFkKc,"i love you","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,291796,83,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:18Z,"","Darkroom/Interscope Records",0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,4
15JINEqzVMv3SvJTAXAKED,"Love The Way You Lie","Recovery","Eminem,Rihanna",2010-06-18,263373,84,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:19Z,"rap,hip-hop","Aftermath",0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,4
2Ch7LmS7r2Gy2kc64wv3Bz,"Die For You","Starboy","The Weeknd",2016-11-25,260252,79,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:20Z,"","Universal Republic Records",0.586,0.525,1,-7.163,0,0.0616,0.111,0,0.134,0.507,133.63,4
0p6RzKrGeXzyYYd2RZPKd8,"Say You Won't Let Go","Back from the Edge","James Arthur",2016-10-28,211466,53,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:22Z,"soft pop","Columbia",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4
2ZXb6OBkjmDYnvEB3iANgH,"Dead Man","Dead Man","David Kushner",2023-09-22,274870,56,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:23Z,"","Miserable Music Group, LLC",0.562,0.54,9,-6.477,1,0.0281,0.327,0.603,0.107,0.331,130.103,4
1kuGVB7EU95pJObxwvfwKS,"vampire","GUTS","Olivia Rodrigo",2023-09-08,219724,84,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:24Z,"","Olivia Rodrigo PS",0.484,0.53,5,-5.821,1,0.0538,0.154,0,0.263,0.323,136.848,4
1XiFjtUMNldDO7pcVKla7p,"ballad of a homeschooled girl","GUTS","Olivia Rodrigo",2023-09-08,203369,44,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:28Z,"","Olivia Rodrigo PS",0.393,0.88,1,-3.448,1,0.0696,0.0625,0,0.335,0.423,120.232,4
4y5bvROuBDPr5fuwXbIBZR,"Paper Rings","Lover","Taylor Swift",2019-08-23,222400,76,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:29Z,"","Taylor Swift",0.811,0.719,9,-6.553,1,0.0497,0.0129,0.0000136,0.0742,0.865,103.979,4
0c8K5IUrmVlieC0Fc0d8tV,"Mr. Forgettable","Footprints I Found","David Kushner",2022-09-16,187293,73,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:30Z,"","David Kushner",0.564,0.412,8,-9.23,0,0.0274,0.554,0,0.151,0.29,144.689,4
7ueJWVf5CAGyR8e9wafxTE,"Następna stacja","Umowa o dzieło","Taco Hemingway",2015-06-28,251826,0,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:38Z,"","Taco Corp",0.665,0.617,11,-7.068,0,0.233,0.422,0,0.0701,0.868,90.992,4
37F0uwRSrdzkBiuj0D5UHI,"Reminder","Starboy","The Weeknd",2016-11-25,218880,82,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:42Z,"","Universal Republic Records",0.705,0.505,8,-6.923,1,0.193,0.142,0,0.164,0.388,160.053,4
4lLmG1fatRUgnRz0Ol0WUi,"Why I Love You","Watch The Throne (Deluxe)","JAY-Z,Kanye West,Mr Hudson",2011-08-08,201373,1,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:48Z,"hip-hop,east coast hip-hop,rap","Roc Nation/RocAFella/IDJ",0.48,0.808,5,-4.133,1,0.0423,0.0259,0,0.269,0.37,123.39,4
2xql0pid3EUwW38AsywxhV,"Reflections","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,244013,83,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:52Z,"","Columbia",0.648,0.594,11,-7.027,0,0.0293,0.114,0.0462,0.116,0.544,113.983,4
7pT6WSg4PCt4mr5ZFyUfsF,"If We Have Each Other","Narrated For You","Alec Benjamin",2018-11-16,181522,75,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:51:54Z,"","2018",0.656,0.577,10,-5.566,0,0.0802,0.698,0,0.296,0.861,173.094,4
2K7xn816oNHJZ0aVqdQsha,"Softcore","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,206280,86,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:52:12Z,"","Columbia",0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4
4woTEX1wYOTGDqNXuavlRC,"Superman","The Eminem Show","Eminem,Dina Rae",2002-05-26,350320,83,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:52:12Z,"rap,hip-hop","Aftermath",0.802,0.755,4,-3.138,0,0.0564,0.0215,0,0.295,0.58,130.027,4
